TABLE NO.  2
 ID             ,SID            ,CID            ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  2.70000000E+01, 3.00000000E+00, 1.00000000E+00, 1.05708765E+01, 2.71202267E+01,-1.43024254E-02, 9.54696417E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.80000000E+01, 3.00000000E+00, 1.00000000E+00, 1.31912877E+01, 2.37949094E+01, 2.07151442E-01,-3.53385119E-02, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  2.90000000E+01, 3.00000000E+00, 1.00000000E+00, 9.86281099E+00, 2.86672661E+01,-8.36339314E-02, 1.50945736E-01, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  3.00000000E+01, 3.00000000E+00, 1.00000000E+00, 1.14965369E+01, 2.06338518E+01, 6.96407039E-02,-1.77877161E-01, 1.68686906E-01, 1.92895762E-01, 2.09274640E-01,-6.18771757E-01
  3.10000000E+01, 4.00000000E+00, 1.00000000E+00, 1.13046299E+01, 2.22638575E+01,-3.53916288E-02, 2.33625249E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.20000000E+01, 4.00000000E+00, 1.00000000E+00, 1.12286496E+01, 2.34279084E+01,-4.21354863E-02, 7.43258803E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.30000000E+01, 4.00000000E+00, 1.00000000E+00, 1.23942485E+01, 2.22998572E+01, 5.66285360E-02, 2.49781774E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.40000000E+01, 4.00000000E+00, 1.00000000E+00, 1.05861289E+01, 2.35017172E+01,-1.01059447E-01, 7.74713952E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.50000000E+01, 4.00000000E+00, 1.00000000E+00, 1.16733566E+01, 1.94477190E+01,-3.29496598E-03,-1.11872310E-01, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.60000000E+01, 4.00000000E+00, 1.00000000E+00, 1.32516585E+01, 2.00457592E+01, 1.23518712E-01,-8.15844763E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.70000000E+01, 4.00000000E+00, 1.00000000E+00, 1.15622027E+01, 1.86742435E+01,-1.28626134E-02,-1.52456877E-01, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.80000000E+01, 4.00000000E+00, 1.00000000E+00, 1.24606386E+01, 2.39341867E+01, 6.19707658E-02, 9.57057436E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  3.90000000E+01, 4.00000000E+00, 1.00000000E+00, 1.18221017E+01, 2.14507615E+01, 9.36680893E-03,-1.38419521E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  4.00000000E+01, 4.00000000E+00, 1.00000000E+00, 1.06028117E+01, 2.21139740E+01,-9.94847774E-02, 1.66076202E-02, 2.56885757E-01, 6.76876788E-02, 2.09274640E-01,-6.18771757E-01
  4.10000000E+01, 5.00000000E+00, 1.00000000E+00, 8.57378135E+00, 1.83747987E+01,-4.36423412E-02,-3.68844291E-02,-1.13670364E-02,-6.40498988E-02, 2.09274640E-01,-6.18771757E-01
  4.20000000E+01, 5.00000000E+00, 1.00000000E+00, 9.01871011E+00, 1.69193464E+01, 6.95011356E-03,-1.19406793E-01,-1.13670364E-02,-6.40498988E-02, 2.09274640E-01,-6.18771757E-01
