TABLE NO.  2
 ID             ,SID            ,KA             ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  1.10000000E+01, 1.00000000E+00, 6.77325703E-01, 6.20572152E-03, 3.82055668E-02,-1.63930449E-01, 9.67438070E-02, 9.39119251E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.20000000E+01, 1.00000000E+00, 7.91776187E-01, 4.70169551E-03, 3.19822180E-02,-7.80394369E-03,-1.80804696E-01,-8.38892481E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.30000000E+01, 1.00000000E+00, 7.16808349E-01, 6.70718381E-03, 3.14396242E-02,-1.07274194E-01, 1.74451277E-01,-1.01000296E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.40000000E+01, 1.00000000E+00, 7.98438257E-01, 5.29332325E-03, 3.56682915E-02, 5.74937348E-04,-6.22816232E-02, 2.51927906E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.50000000E+01, 1.00000000E+00, 8.99266509E-01, 5.57015914E-03, 3.59373444E-02, 1.19496737E-01,-1.13042615E-02, 3.27076800E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.60000000E+01, 1.00000000E+00, 7.94444161E-01, 5.49562054E-03, 3.25150360E-02,-4.44000205E-03,-2.47763770E-02,-6.73666811E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.70000000E+01, 1.00000000E+00, 8.36913175E-01, 6.60374824E-03, 4.17703161E-02, 4.76376278E-02, 1.58909517E-01, 1.83116638E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.80000000E+01, 1.00000000E+00, 7.96413938E-01, 5.68932003E-03, 3.35836674E-02,-1.96363034E-03, 9.86285185E-03,-3.50294494E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.90000000E+01, 1.00000000E+00, 7.78386402E-01, 5.18651970E-03, 3.46741837E-02,-2.48596423E-02,-8.26649908E-02,-3.07388478E-03,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.00000000E+01, 1.00000000E+00, 7.89563044E-01, 5.66234655E-03, 2.91375723E-02,-1.06030197E-02, 5.11050563E-03,-1.77040823E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.10000000E+01, 1.00000000E+00, 6.91395416E-01, 5.61629443E-03, 3.20114088E-02,-1.43370807E-01,-3.05579263E-03,-8.29769444E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.20000000E+01, 1.00000000E+00, 7.97932553E-01, 5.60824944E-03, 3.47863968E-02,-5.86303506E-05,-4.48925707E-03, 1.57105264E-04,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.30000000E+01, 1.00000000E+00, 7.64121129E-01, 5.72403253E-03, 3.74961655E-02,-4.33563811E-02, 1.59456593E-02, 7.51693667E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.40000000E+01, 1.00000000E+00, 8.02037302E-01, 5.13896283E-03, 3.87160727E-02, 5.07241384E-03,-9.18766113E-02, 1.07185521E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.50000000E+01, 1.00000000E+00, 9.79546874E-01, 5.15544982E-03, 3.88821924E-02, 2.05007388E-01,-8.86735128E-02, 1.11467058E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.60000000E+01, 1.00000000E+00, 8.01890872E-01, 5.03079901E-03, 3.88061152E-02, 4.88982451E-03,-1.13149065E-01, 1.09508533E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.70000000E+01, 1.00000000E+00, 8.67046565E-01, 6.07048277E-03, 2.79116766E-02, 8.30099803E-02, 7.47102495E-02,-2.20024192E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.80000000E+01, 1.00000000E+00, 7.92111477E-01, 5.31439772E-03, 3.12304137E-02,-7.38056814E-03,-5.83081969E-02,-1.07676890E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
